accepted,analytics,effective_points,length,number,points,story_ids,team_strength,velocity
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-01-20', 'feature', 6.0, 4], ['2014-01-20', 'bug', 0.0, 0], ['2014-01-20', 'chore', 0.0, 1], ['2014-01-20', 'release', 0.0, 0], ['2014-01-21', 'feature', 0.0, 0], ['2014-01-21', 'bug', 0.0, 0], ['2014-01-21', 'chore', 0.0, 0], ['2014-01-21', 'release', 0.0, 0], ['2014-01-22', 'feature', 1.0, 1], ['2014-01-22', 'bug', 0.0, 0], ['2014-01-22', 'chore', 0.0, 1], ['2014-01-22', 'release', 0.0, 0], ['2014-01-23', 'feature', 0.0, 0], ['2014-01-23', 'bug', 0.0, 1], ['2014-01-23', 'chore', 0.0, 0], ['2014-01-23', 'release', 0.0, 0], ['2014-01-24', 'feature', 1.0, 1], ['2014-01-24', 'bug', 0.0, 1], ['2014-01-24', 'chore', 0.0, 1], ['2014-01-24', 'release', 0.0, 0], ['2014-01-25', 'feature', 0.0, 0], ['2014-01-25', 'bug', 0.0, 0], ['2014-01-25', 'chore', 0.0, 0], ['2014-01-25', 'release', 0.0, 0], ['2014-01-26', 'feature', 0.0, 0], ['2014-01-26', 'bug', 0.0, 0], ['2014-01-26', 'chore', 0.0, 0], ['2014-01-26', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 11, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 6}",8.0,1,11,8,"[62847488, 64172272, 62794030, 60722772, 63908918, 64339478, 63574208, 64269314, 62924220, 55096726, 64482450]",1.0,10
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-01-27', 'feature', 0.0, 0], ['2014-01-27', 'bug', 0.0, 0], ['2014-01-27', 'chore', 0.0, 0], ['2014-01-27', 'release', 0.0, 2], ['2014-01-28', 'feature', 0.0, 0], ['2014-01-28', 'bug', 0.0, 1], ['2014-01-28', 'chore', 0.0, 1], ['2014-01-28', 'release', 0.0, 0], ['2014-01-29', 'feature', 0.0, 0], ['2014-01-29', 'bug', 0.0, 0], ['2014-01-29', 'chore', 0.0, 2], ['2014-01-29', 'release', 0.0, 0], ['2014-01-30', 'feature', 5.0, 2], ['2014-01-30', 'bug', 0.0, 0], ['2014-01-30', 'chore', 0.0, 0], ['2014-01-30', 'release', 0.0, 0], ['2014-01-31', 'feature', 0.0, 0], ['2014-01-31', 'bug', 0.0, 0], ['2014-01-31', 'chore', 0.0, 0], ['2014-01-31', 'release', 0.0, 0], ['2014-02-01', 'feature', 0.0, 0], ['2014-02-01', 'bug', 0.0, 0], ['2014-02-01', 'chore', 0.0, 0], ['2014-02-01', 'release', 0.0, 0], ['2014-02-02', 'feature', 0.0, 0], ['2014-02-02', 'bug', 0.0, 0], ['2014-02-02', 'chore', 0.0, 0], ['2014-02-02', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 6, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 3}",5.0,1,12,5,"[62270122, 62270368, 64669124, 64426276, 64764502, 64761788, 60722774, 63988466]",1.0,8
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-02-03', 'feature', 0.0, 0], ['2014-02-03', 'bug', 0.0, 1], ['2014-02-03', 'chore', 0.0, 0], ['2014-02-03', 'release', 0.0, 0], ['2014-02-04', 'feature', 0.0, 0], ['2014-02-04', 'bug', 0.0, 0], ['2014-02-04', 'chore', 0.0, 0], ['2014-02-04', 'release', 0.0, 0], ['2014-02-05', 'feature', 4.0, 3], ['2014-02-05', 'bug', 0.0, 0], ['2014-02-05', 'chore', 0.0, 1], ['2014-02-05', 'release', 0.0, 0], ['2014-02-06', 'feature', 0.0, 0], ['2014-02-06', 'bug', 0.0, 0], ['2014-02-06', 'chore', 0.0, 4], ['2014-02-06', 'release', 0.0, 0], ['2014-02-07', 'feature', 1.0, 1], ['2014-02-07', 'bug', 0.0, 0], ['2014-02-07', 'chore', 0.0, 0], ['2014-02-07', 'release', 0.0, 1], ['2014-02-08', 'feature', 0.0, 0], ['2014-02-08', 'bug', 0.0, 0], ['2014-02-08', 'chore', 0.0, 0], ['2014-02-08', 'release', 0.0, 0], ['2014-02-09', 'feature', 0.0, 0], ['2014-02-09', 'bug', 0.0, 0], ['2014-02-09', 'chore', 0.0, 0], ['2014-02-09', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 10, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 3}",5.0,1,13,5,"[64478642, 64847782, 62859876, 61777744, 58847334, 65031572, 61863184, 65250954, 64490236, 60733376, 64772116]",1.0,8
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-02-10', 'feature', 2.0, 2], ['2014-02-10', 'bug', 0.0, 0], ['2014-02-10', 'chore', 0.0, 1], ['2014-02-10', 'release', 0.0, 0], ['2014-02-11', 'feature', 0.0, 0], ['2014-02-11', 'bug', 0.0, 0], ['2014-02-11', 'chore', 0.0, 0], ['2014-02-11', 'release', 0.0, 0], ['2014-02-12', 'feature', 2.0, 2], ['2014-02-12', 'bug', 0.0, 0], ['2014-02-12', 'chore', 0.0, 0], ['2014-02-12', 'release', 0.0, 0], ['2014-02-13', 'feature', 3.0, 2], ['2014-02-13', 'bug', 0.0, 0], ['2014-02-13', 'chore', 0.0, 0], ['2014-02-13', 'release', 0.0, 1], ['2014-02-14', 'feature', 6.0, 2], ['2014-02-14', 'bug', 0.0, 0], ['2014-02-14', 'chore', 0.0, 0], ['2014-02-14', 'release', 0.0, 0], ['2014-02-15', 'feature', 0.0, 0], ['2014-02-15', 'bug', 0.0, 0], ['2014-02-15', 'chore', 0.0, 0], ['2014-02-15', 'release', 0.0, 0], ['2014-02-16', 'feature', 0.0, 0], ['2014-02-16', 'bug', 0.0, 0], ['2014-02-16', 'chore', 0.0, 0], ['2014-02-16', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 9, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 3}",13.0,1,14,13,"[65490028, 65217978, 65135200, 54857620, 63986626, 63477950, 65126256, 63216320, 59926938, 62600628]",1.0,6
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-02-17', 'feature', 0.0, 0], ['2014-02-17', 'bug', 0.0, 0], ['2014-02-17', 'chore', 0.0, 0], ['2014-02-17', 'release', 0.0, 0], ['2014-02-18', 'feature', 0.0, 0], ['2014-02-18', 'bug', 0.0, 0], ['2014-02-18', 'chore', 0.0, 0], ['2014-02-18', 'release', 0.0, 0], ['2014-02-19', 'feature', 0.0, 1], ['2014-02-19', 'bug', 0.0, 0], ['2014-02-19', 'chore', 0.0, 0], ['2014-02-19', 'release', 0.0, 0], ['2014-02-20', 'feature', 6.0, 3], ['2014-02-20', 'bug', 0.0, 1], ['2014-02-20', 'chore', 0.0, 1], ['2014-02-20', 'release', 0.0, 0], ['2014-02-21', 'feature', 0.0, 0], ['2014-02-21', 'bug', 0.0, 0], ['2014-02-21', 'chore', 0.0, 0], ['2014-02-21', 'release', 0.0, 0], ['2014-02-22', 'feature', 0.0, 0], ['2014-02-22', 'bug', 0.0, 0], ['2014-02-22', 'chore', 0.0, 0], ['2014-02-22', 'release', 0.0, 0], ['2014-02-23', 'feature', 0.0, 0], ['2014-02-23', 'bug', 0.0, 0], ['2014-02-23', 'chore', 0.0, 0], ['2014-02-23', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 6, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 6}",7.5,1,15,6,"[64276970, 65383442, 62927424, 62871282, 66079798, 65124050]",0.8,7
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-02-24', 'feature', 0.0, 0], ['2014-02-24', 'bug', 0.0, 0], ['2014-02-24', 'chore', 0.0, 2], ['2014-02-24', 'release', 0.0, 0], ['2014-02-25', 'feature', 1.0, 1], ['2014-02-25', 'bug', 0.0, 0], ['2014-02-25', 'chore', 0.0, 0], ['2014-02-25', 'release', 0.0, 0], ['2014-02-26', 'feature', 1.0, 1], ['2014-02-26', 'bug', 0.0, 2], ['2014-02-26', 'chore', 0.0, 1], ['2014-02-26', 'release', 0.0, 1], ['2014-02-27', 'feature', 8.0, 4], ['2014-02-27', 'bug', 0.0, 1], ['2014-02-27', 'chore', 0.0, 0], ['2014-02-27', 'release', 0.0, 0], ['2014-02-28', 'feature', 3.0, 2], ['2014-02-28', 'bug', 0.0, 0], ['2014-02-28', 'chore', 0.0, 0], ['2014-02-28', 'release', 0.0, 0], ['2014-03-01', 'feature', 0.0, 0], ['2014-03-01', 'bug', 0.0, 0], ['2014-03-01', 'chore', 0.0, 0], ['2014-03-01', 'release', 0.0, 0], ['2014-03-02', 'feature', 0.0, 0], ['2014-03-02', 'bug', 0.0, 0], ['2014-03-02', 'chore', 0.0, 0], ['2014-03-02', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 14, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 4}",13.0,1,16,13,"[66035746, 65683910, 65007460, 64617300, 65749890, 66479054, 65585778, 60722780, 64062728, 66177870, 65986854, 66181010, 66014920, 66362140, 64444950]",1.0,8
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-03-03', 'feature', 4.0, 3], ['2014-03-03', 'bug', 0.0, 0], ['2014-03-03', 'chore', 0.0, 0], ['2014-03-03', 'release', 0.0, 0], ['2014-03-04', 'feature', 1.0, 1], ['2014-03-04', 'bug', 0.0, 0], ['2014-03-04', 'chore', 0.0, 0], ['2014-03-04', 'release', 0.0, 0], ['2014-03-05', 'feature', 4.0, 1], ['2014-03-05', 'bug', 0.0, 0], ['2014-03-05', 'chore', 0.0, 0], ['2014-03-05', 'release', 0.0, 0], ['2014-03-06', 'feature', 1.0, 1], ['2014-03-06', 'bug', 0.0, 0], ['2014-03-06', 'chore', 0.0, 0], ['2014-03-06', 'release', 0.0, 0], ['2014-03-07', 'feature', 4.0, 2], ['2014-03-07', 'bug', 0.0, 0], ['2014-03-07', 'chore', 0.0, 1], ['2014-03-07', 'release', 0.0, 1], ['2014-03-08', 'feature', 0.0, 0], ['2014-03-08', 'bug', 0.0, 0], ['2014-03-08', 'chore', 0.0, 0], ['2014-03-08', 'release', 0.0, 0], ['2014-03-09', 'feature', 0.0, 0], ['2014-03-09', 'bug', 0.0, 0], ['2014-03-09', 'chore', 0.0, 0], ['2014-03-09', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 9, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 3}",14.0,1,17,14,"[66379402, 66180752, 66178436, 64426614, 65990852, 66825798, 62927456, 65398698, 65600186, 65399028]",1.0,11
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-03-10', 'feature', 2.0, 2], ['2014-03-10', 'bug', 0.0, 0], ['2014-03-10', 'chore', 0.0, 1], ['2014-03-10', 'release', 0.0, 0], ['2014-03-11', 'feature', 1.0, 1], ['2014-03-11', 'bug', 0.0, 0], ['2014-03-11', 'chore', 0.0, 0], ['2014-03-11', 'release', 0.0, 0], ['2014-03-12', 'feature', 0.0, 0], ['2014-03-12', 'bug', 0.0, 1], ['2014-03-12', 'chore', 0.0, 0], ['2014-03-12', 'release', 0.0, 0], ['2014-03-13', 'feature', 6.0, 2], ['2014-03-13', 'bug', 0.0, 0], ['2014-03-13', 'chore', 0.0, 2], ['2014-03-13', 'release', 0.0, 0], ['2014-03-14', 'feature', 0.0, 0], ['2014-03-14', 'bug', 0.0, 0], ['2014-03-14', 'chore', 0.0, 0], ['2014-03-14', 'release', 0.0, 0], ['2014-03-15', 'feature', 0.0, 0], ['2014-03-15', 'bug', 0.0, 0], ['2014-03-15', 'chore', 0.0, 0], ['2014-03-15', 'release', 0.0, 0], ['2014-03-16', 'feature', 0.0, 0], ['2014-03-16', 'bug', 0.0, 0], ['2014-03-16', 'chore', 0.0, 0], ['2014-03-16', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 9, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 4}",9.0,1,18,9,"[66826078, 66826246, 67270090, 66984438, 66104896, 67231050, 66378954, 66380830, 65684338]",1.0,11
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-03-17', 'feature', 0.0, 0], ['2014-03-17', 'bug', 0.0, 0], ['2014-03-17', 'chore', 0.0, 2], ['2014-03-17', 'release', 0.0, 0], ['2014-03-18', 'feature', 2.0, 2], ['2014-03-18', 'bug', 0.0, 0], ['2014-03-18', 'chore', 0.0, 0], ['2014-03-18', 'release', 0.0, 0], ['2014-03-19', 'feature', 0.0, 0], ['2014-03-19', 'bug', 0.0, 0], ['2014-03-19', 'chore', 0.0, 0], ['2014-03-19', 'release', 0.0, 1], ['2014-03-20', 'feature', 0.0, 0], ['2014-03-20', 'bug', 0.0, 2], ['2014-03-20', 'chore', 0.0, 1], ['2014-03-20', 'release', 0.0, 0], ['2014-03-21', 'feature', 0.0, 0], ['2014-03-21', 'bug', 0.0, 0], ['2014-03-21', 'chore', 0.0, 0], ['2014-03-21', 'release', 0.0, 0], ['2014-03-22', 'feature', 0.0, 0], ['2014-03-22', 'bug', 0.0, 0], ['2014-03-22', 'chore', 0.0, 0], ['2014-03-22', 'release', 0.0, 0], ['2014-03-23', 'feature', 0.0, 0], ['2014-03-23', 'bug', 0.0, 0], ['2014-03-23', 'chore', 0.0, 0], ['2014-03-23', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 7, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 0}",2.0,1,19,2,"[67326804, 67348056, 67270444, 67434244, 64199550, 66102110, 66913564, 67961822]",1.0,12
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-03-24', 'feature', 0.0, 0], ['2014-03-24', 'bug', 0.0, 0], ['2014-03-24', 'chore', 0.0, 3], ['2014-03-24', 'release', 0.0, 0], ['2014-03-25', 'feature', 0.0, 3], ['2014-03-25', 'bug', 0.0, 0], ['2014-03-25', 'chore', 0.0, 3], ['2014-03-25', 'release', 0.0, 0], ['2014-03-26', 'feature', 4.0, 3], ['2014-03-26', 'bug', 0.0, 0], ['2014-03-26', 'chore', 0.0, 0], ['2014-03-26', 'release', 0.0, 0], ['2014-03-27', 'feature', 3.0, 2], ['2014-03-27', 'bug', 0.0, 0], ['2014-03-27', 'chore', 0.0, 2], ['2014-03-27', 'release', 0.0, 0], ['2014-03-28', 'feature', 0.0, 0], ['2014-03-28', 'bug', 0.0, 0], ['2014-03-28', 'chore', 0.0, 3], ['2014-03-28', 'release', 0.0, 0], ['2014-03-29', 'feature', 0.0, 0], ['2014-03-29', 'bug', 0.0, 0], ['2014-03-29', 'chore', 0.0, 0], ['2014-03-29', 'release', 0.0, 0], ['2014-03-30', 'feature', 0.0, 0], ['2014-03-30', 'bug', 0.0, 0], ['2014-03-30', 'chore', 0.0, 0], ['2014-03-30', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 19, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 4}",7.0,1,20,7,"[67595202, 65601508, 67796062, 68150166, 51423535, 68203554, 67129974, 67130142, 67130366, 67148918, 67322632, 66963854, 68378044, 66385224, 66379048, 68411114, 68374674, 68463930, 68455432]",1.0,8
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-03-31', 'feature', 0.0, 0], ['2014-03-31', 'bug', 0.0, 0], ['2014-03-31', 'chore', 0.0, 0], ['2014-03-31', 'release', 0.0, 0], ['2014-04-01', 'feature', 0.0, 0], ['2014-04-01', 'bug', 0.0, 0], ['2014-04-01', 'chore', 0.0, 1], ['2014-04-01', 'release', 0.0, 0], ['2014-04-02', 'feature', 0.0, 0], ['2014-04-02', 'bug', 0.0, 0], ['2014-04-02', 'chore', 0.0, 0], ['2014-04-02', 'release', 0.0, 0], ['2014-04-03', 'feature', 2.0, 2], ['2014-04-03', 'bug', 0.0, 1], ['2014-04-03', 'chore', 0.0, 1], ['2014-04-03', 'release', 0.0, 0], ['2014-04-04', 'feature', 1.0, 1], ['2014-04-04', 'bug', 0.0, 0], ['2014-04-04', 'chore', 0.0, 0], ['2014-04-04', 'release', 0.0, 0], ['2014-04-05', 'feature', 0.0, 0], ['2014-04-05', 'bug', 0.0, 0], ['2014-04-05', 'chore', 0.0, 0], ['2014-04-05', 'release', 0.0, 0], ['2014-04-06', 'feature', 0.0, 0], ['2014-04-06', 'bug', 0.0, 0], ['2014-04-06', 'chore', 0.0, 1], ['2014-04-06', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 7, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 8}",3.0,1,21,3,"[68567976, 68651814, 66379188, 68224052, 67243630, 65505988, 67433350]",1.0,6
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-04-07', 'feature', 2.0, 2], ['2014-04-07', 'bug', 0.0, 0], ['2014-04-07', 'chore', 0.0, 0], ['2014-04-07', 'release', 0.0, 0], ['2014-04-08', 'feature', 1.0, 1], ['2014-04-08', 'bug', 0.0, 0], ['2014-04-08', 'chore', 0.0, 0], ['2014-04-08', 'release', 0.0, 0], ['2014-04-09', 'feature', 1.0, 1], ['2014-04-09', 'bug', 0.0, 0], ['2014-04-09', 'chore', 0.0, 2], ['2014-04-09', 'release', 0.0, 0], ['2014-04-10', 'feature', 1.0, 1], ['2014-04-10', 'bug', 0.0, 0], ['2014-04-10', 'chore', 0.0, 1], ['2014-04-10', 'release', 0.0, 0], ['2014-04-11', 'feature', 0.0, 0], ['2014-04-11', 'bug', 0.0, 0], ['2014-04-11', 'chore', 0.0, 0], ['2014-04-11', 'release', 0.0, 0], ['2014-04-12', 'feature', 0.0, 0], ['2014-04-12', 'bug', 0.0, 0], ['2014-04-12', 'chore', 0.0, 0], ['2014-04-12', 'release', 0.0, 0], ['2014-04-13', 'feature', 0.0, 0], ['2014-04-13', 'bug', 0.0, 0], ['2014-04-13', 'chore', 0.0, 0], ['2014-04-13', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 8, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 2}",5.0,1,22,5,"[67130524, 67129724, 68325962, 68574858, 69106298, 68404116, 69094898, 68317490]",1.0,4
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-04-14', 'feature', 6.0, 5], ['2014-04-14', 'bug', 0.0, 0], ['2014-04-14', 'chore', 0.0, 0], ['2014-04-14', 'release', 0.0, 0], ['2014-04-15', 'feature', 0.0, 0], ['2014-04-15', 'bug', 0.0, 0], ['2014-04-15', 'chore', 0.0, 0], ['2014-04-15', 'release', 0.0, 0], ['2014-04-16', 'feature', 1.0, 1], ['2014-04-16', 'bug', 0.0, 0], ['2014-04-16', 'chore', 0.0, 0], ['2014-04-16', 'release', 0.0, 0], ['2014-04-17', 'feature', 1.0, 1], ['2014-04-17', 'bug', 0.0, 1], ['2014-04-17', 'chore', 0.0, 1], ['2014-04-17', 'release', 0.0, 0], ['2014-04-18', 'feature', 1.0, 1], ['2014-04-18', 'bug', 0.0, 0], ['2014-04-18', 'chore', 0.0, 3], ['2014-04-18', 'release', 0.0, 0], ['2014-04-19', 'feature', 0.0, 0], ['2014-04-19', 'bug', 0.0, 0], ['2014-04-19', 'chore', 0.0, 0], ['2014-04-19', 'release', 0.0, 0], ['2014-04-20', 'feature', 0.0, 0], ['2014-04-20', 'bug', 0.0, 0], ['2014-04-20', 'chore', 0.0, 0], ['2014-04-20', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 13, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 3}",9.0,1,23,9,"[69290650, 69291240, 69290916, 66386686, 68483180, 68485390, 69048744, 68700958, 69554908, 68575172, 69667464, 69779934, 69786448]",1.0,5
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-04-21', 'feature', 0.0, 0], ['2014-04-21', 'bug', 0.0, 0], ['2014-04-21', 'chore', 0.0, 0], ['2014-04-21', 'release', 0.0, 0], ['2014-04-22', 'feature', 2.0, 2], ['2014-04-22', 'bug', 0.0, 1], ['2014-04-22', 'chore', 0.0, 0], ['2014-04-22', 'release', 0.0, 0], ['2014-04-23', 'feature', 6.0, 4], ['2014-04-23', 'bug', 0.0, 1], ['2014-04-23', 'chore', 0.0, 0], ['2014-04-23', 'release', 0.0, 0], ['2014-04-24', 'feature', 2.0, 2], ['2014-04-24', 'bug', 0.0, 0], ['2014-04-24', 'chore', 0.0, 1], ['2014-04-24', 'release', 0.0, 0], ['2014-04-25', 'feature', 3.0, 2], ['2014-04-25', 'bug', 0.0, 0], ['2014-04-25', 'chore', 0.0, 0], ['2014-04-25', 'release', 0.0, 0], ['2014-04-26', 'feature', 0.0, 0], ['2014-04-26', 'bug', 0.0, 0], ['2014-04-26', 'chore', 0.0, 0], ['2014-04-26', 'release', 0.0, 0], ['2014-04-27', 'feature', 0.0, 0], ['2014-04-27', 'bug', 0.0, 0], ['2014-04-27', 'chore', 0.0, 0], ['2014-04-27', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 13, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 1}",13.0,1,24,13,"[67675768, 68597004, 69785084, 69022850, 69670520, 69881258, 69858970, 67866244, 68651964, 68014462, 66908722, 66386810, 67807638]",1.0,5
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-04-28', 'feature', 0.0, 0], ['2014-04-28', 'bug', 0.0, 0], ['2014-04-28', 'chore', 0.0, 2], ['2014-04-28', 'release', 0.0, 0], ['2014-04-29', 'feature', 0.0, 1], ['2014-04-29', 'bug', 0.0, 1], ['2014-04-29', 'chore', 0.0, 0], ['2014-04-29', 'release', 0.0, 1], ['2014-04-30', 'feature', 1.0, 2], ['2014-04-30', 'bug', 0.0, 0], ['2014-04-30', 'chore', 0.0, 0], ['2014-04-30', 'release', 0.0, 0], ['2014-05-01', 'feature', 4.0, 1], ['2014-05-01', 'bug', 0.0, 0], ['2014-05-01', 'chore', 0.0, 1], ['2014-05-01', 'release', 0.0, 0], ['2014-05-02', 'feature', 3.0, 4], ['2014-05-02', 'bug', 0.0, 0], ['2014-05-02', 'chore', 0.0, 0], ['2014-05-02', 'release', 0.0, 0], ['2014-05-03', 'feature', 0.0, 0], ['2014-05-03', 'bug', 0.0, 0], ['2014-05-03', 'chore', 0.0, 0], ['2014-05-03', 'release', 0.0, 0], ['2014-05-04', 'feature', 0.0, 0], ['2014-05-04', 'bug', 0.0, 0], ['2014-05-04', 'chore', 0.0, 0], ['2014-05-04', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 12, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 1}",8.0,1,25,8,"[67127424, 65395500, 59773368, 67804426, 68808888, 70191210, 69858338, 62328814, 69080790, 70545170, 70063638, 70376624, 70123498]",1.0,9
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-05-05', 'feature', 0.0, 0], ['2014-05-05', 'bug', 0.0, 0], ['2014-05-05', 'chore', 0.0, 0], ['2014-05-05', 'release', 0.0, 0], ['2014-05-06', 'feature', 3.0, 2], ['2014-05-06', 'bug', 0.0, 1], ['2014-05-06', 'chore', 0.0, 0], ['2014-05-06', 'release', 0.0, 0], ['2014-05-07', 'feature', 1.0, 1], ['2014-05-07', 'bug', 0.0, 1], ['2014-05-07', 'chore', 0.0, 0], ['2014-05-07', 'release', 0.0, 0], ['2014-05-08', 'feature', 0.0, 0], ['2014-05-08', 'bug', 0.0, 0], ['2014-05-08', 'chore', 0.0, 1], ['2014-05-08', 'release', 0.0, 0], ['2014-05-09', 'feature', 4.0, 3], ['2014-05-09', 'bug', 0.0, 1], ['2014-05-09', 'chore', 0.0, 0], ['2014-05-09', 'release', 0.0, 1], ['2014-05-10', 'feature', 0.0, 0], ['2014-05-10', 'bug', 0.0, 0], ['2014-05-10', 'chore', 0.0, 0], ['2014-05-10', 'release', 0.0, 0], ['2014-05-11', 'feature', 0.0, 0], ['2014-05-11', 'bug', 0.0, 0], ['2014-05-11', 'chore', 0.0, 0], ['2014-05-11', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 10, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 0}",8.0,1,26,8,"[64426488, 66141966, 67369232, 69952006, 70031890, 69996098, 70136990, 64428218, 69951554, 70483918, 70703028]",1.0,10
"{'header': ['date', 'story_type', 'points_accepted', 'counts_accepted'], 'kind': 'daily_history_container', 'data': [['2014-05-12', 'feature', 0.0, 0], ['2014-05-12', 'bug', 0.0, 0], ['2014-05-12', 'chore', 0.0, 0], ['2014-05-12', 'release', 0.0, 0], ['2014-05-13', 'feature', 0.0, 0], ['2014-05-13', 'bug', 0.0, 0], ['2014-05-13', 'chore', 0.0, 0], ['2014-05-13', 'release', 0.0, 0], ['2014-05-14', 'feature', 1.0, 1], ['2014-05-14', 'bug', 0.0, 0], ['2014-05-14', 'chore', 0.0, 0], ['2014-05-14', 'release', 0.0, 0], ['2014-05-15', 'feature', 1.0, 1], ['2014-05-15', 'bug', 0.0, 0], ['2014-05-15', 'chore', 0.0, 0], ['2014-05-15', 'release', 0.0, 0], ['2014-05-16', 'feature', 7.0, 3], ['2014-05-16', 'bug', 0.0, 0], ['2014-05-16', 'chore', 0.0, 0], ['2014-05-16', 'release', 0.0, 0], ['2014-05-17', 'feature', 0.0, 0], ['2014-05-17', 'bug', 0.0, 0], ['2014-05-17', 'chore', 0.0, 0], ['2014-05-17', 'release', 0.0, 0], ['2014-05-18', 'feature', 0.0, 0], ['2014-05-18', 'bug', 0.0, 0], ['2014-05-18', 'chore', 0.0, 0], ['2014-05-18', 'release', 0.0, 0]]}","{'cycle_time': 0, 'stories_accepted': 5, 'rejection_rate': 0.0, 'kind': 'analytics', 'bugs_created': 3}",10.0,1,27,9,"[69222212, 71173704, 65657038, 65070172, 71255882]",0.9,9
