team_strength,total_points,contributors,effective_points,effective_std,effective_mean,volatility,bugs_created,cycle_time,kind,rejection_rate,stories_accepted,iteration,misprediction_margin,stds_outside_volatile_range,change_in_velocity
0.3,0.0,2,0.0,,,,2,0,analytics,0.0,3,1,,,
1.0,13.0,7,13.0,,,,4,0,analytics,0.0,13,2,,,13.0
0.4,2.0,3,5.0,,,,2,0,analytics,0.0,5,3,,,-8.0
0.8,9.0,6,11.25,,,,5,0,analytics,0.0,15,4,,,6.25
0.85,13.0,8,15.294117647058824,,,,7,0,analytics,0.0,19,5,,,4.044117647058824
0.8,3.0,3,3.75,,,,2,0,analytics,0.0,5,6,,,-11.544117647058824
0.25,11.0,6,44.0,,,,1,0,analytics,0.0,13,7,,,40.25
0.5,8.0,4,16.0,,,,2,0,analytics,0.0,8,8,,,-28.0
0.9,5.0,4,5.555555555555555,,,,2,0,analytics,0.0,7,9,,,-10.444444444444445
0.9,10.0,8,11.11111111111111,,,,1,0,analytics,0.0,23,10,,,5.555555555555555
1.0,8.0,6,8.0,12.262572961052644,12.496078431372549,98.1313700005782,6,0,analytics,0.0,11,11,4.496078431372549,0.3666504937954389,-3.1111111111111107
1.0,5.0,5,5.0,11.59980366560043,13.29607843137255,87.24229272166669,3,0,analytics,0.0,6,12,8.29607843137255,0.7151912800019903,-3.0
1.0,5.0,6,5.0,11.894612508873525,12.496078431372549,95.18676258474028,3,0,analytics,0.0,10,13,7.496078431372549,0.6302078714863879,0.0
1.0,13.0,9,13.0,11.894612508873525,12.496078431372549,95.18676258474028,3,0,analytics,0.0,9,14,0.503921568627451,0.042365530466126525,8.0
0.8,6.0,6,7.5,11.887113639551263,12.67107843137255,93.81295920416486,6,0,analytics,0.0,6,15,5.17107843137255,0.4350154787926935,-5.5
1.0,13.0,7,13.0,11.9513649919776,11.891666666666667,100.50201815257967,4,0,analytics,0.0,14,16,1.1083333333333325,0.09273696636972475,5.5
1.0,14.0,9,14.0,11.604125431212799,12.816666666666668,90.53934016550947,3,0,analytics,0.0,9,17,1.1833333333333318,0.1019752277194798,1.0
1.0,9.0,5,9.0,4.094732974740936,9.816666666666668,41.712050676478114,4,0,analytics,0.0,9,18,0.8166666666666682,0.19944320464958692,-5.0
1.0,2.0,7,2.0,3.47106894427527,9.116666666666669,38.07388238693165,0,0,analytics,0.0,7,19,7.116666666666669,2.050280988628582,-7.0
1.0,7.0,8,7.0,4.01574831979063,8.761111111111113,45.83606198873261,4,0,analytics,0.0,19,20,1.7611111111111128,0.4385511667730542,5.0
1.0,3.0,5,3.0,3.9584649100938707,8.350000000000001,47.406765390345754,8,0,analytics,0.0,7,21,5.350000000000001,1.3515340217764193,-4.0
1.0,5.0,5,5.0,4.307938408720971,7.850000000000001,54.87819628943911,2,0,analytics,0.0,8,22,2.8500000000000014,0.6615693470060933,2.0
1.0,9.0,4,9.0,4.307938408720971,7.850000000000001,54.87819628943911,3,0,analytics,0.0,13,23,1.1499999999999986,0.26694903475684423,4.0
1.0,13.0,5,13.0,4.1982139059366705,8.250000000000002,50.88744128408085,1,0,analytics,0.0,13,24,4.749999999999998,1.1314335349332845,4.0
1.0,8.0,5,8.0,4.1982139059366705,8.250000000000002,50.88744128408085,1,0,analytics,0.0,12,25,0.2500000000000018,0.05954913341754173,-5.0
1.0,8.0,6,8.0,4.191260749066646,8.3,50.49711745863428,0,0,analytics,0.0,10,26,0.3000000000000007,0.07157750804857653,0.0
0.9,9.0,4,10.0,3.8528488738133086,7.800000000000002,49.395498382221895,3,0,analytics,0.0,5,27,2.1999999999999984,0.5710060456699346,2.0
0.52,2.0,4,3.846153846153846,3.3065591380366044,7.400000000000001,44.68323159508924,0,0,analytics,0.0,3,28,3.5538461538461554,1.074786811753921,-6.153846153846154
0.76,3.0,4,3.9473684210526314,3.4288580779329756,6.884615384615385,49.80464247276947,2,0,analytics,0.0,6,29,2.9372469635627536,0.8566254119603046,0.1012145748987856
0.93,7.0,5,7.526881720430107,3.1658303695706405,7.079352226720649,44.71920972686424,4,0,analytics,0.0,7,30,0.4475294937094585,0.141362436222429,3.5795132993774756
0.9,21.0,9,23.333333333333332,3.168746033040409,7.132040398763659,44.42972635979056,3,0,analytics,0.0,29,31,16.201292934569672,5.112840462958953,15.806451612903224
1.0,8.0,5,8.0,5.719676110172107,9.165373732096992,62.40526875780191,4,0,analytics,0.0,8,32,1.1653737320969917,0.2037482035083146,-15.333333333333332
1.0,8.0,7,8.0,5.553177377310716,9.465373732096992,58.668337188630424,3,0,analytics,0.0,10,33,1.4653737320969924,0.26388023153811835,0.0
0.67,7.0,7,10.44776119402985,5.571462587937387,9.365373732096993,59.4900187361758,5,0,analytics,0.0,12,34,1.082387461932857,0.1942734865125547,2.44776119402985
1.0,4.0,6,4.0,5.443450912561735,9.110149851499978,59.75149697088107,3,0,analytics,0.0,7,35,5.110149851499978,0.9387702642284134,-6.44776119402985
1.0,6.0,6,6.0,5.676086477976632,8.710149851499978,65.16634701754472,6,0,analytics,0.0,13,36,2.7101498514999776,0.4774680340081906,2.0
1.0,11.0,8,11.0,5.738778603648287,8.510149851499978,67.43451882503318,8,0,analytics,0.0,21,37,2.4898501485000217,0.4338641234420789,5.0
